Countries,gold_demand,2020,2021,2022,2023,Average demand,Year-on-year % change
China,demand_tonnes,641.3,993.7,824.9,959.1,854.8,16
India,demand_tonnes,446.4,797.3,774.1,761,694.7,-2
United States,demand_tonnes,187.3,264.9,252.4,252.5,239.3,0
Germany,demand_tonnes,166,173.7,196.5,57.5,148.4,-71
Turkey,demand_tonnes,147,95.3,121.7,192.3,139.1,58
Islamic Republic of Iran,demand_tonnes,56.3,51.8,71.7,71.8,62.9,0
Russian Federation,demand_tonnes,34.8,46.8,60.7,71.2,53.4,17
Vietnam,demand_tonnes,39.8,43,59.1,55.5,49.4,-6
Indonesia,demand_tonnes,37.6,46.8,49.7,45.5,44.9,-9
Saudi Arabia,demand_tonnes,31.1,44.2,50.1,52.3,44.4,4
UAE,demand_tonnes,26.7,41.6,55.3,51.2,43.7,-7
Switzerland,demand_tonnes,42.9,43.8,48.7,35.8,42.8,-27
Egypt,demand_tonnes,23.5,34.1,51.5,57,41.5,11
Pakistan,demand_tonnes,28.8,41.2,44.3,43,39.3,-3
"Korea, Republic of",demand_tonnes,35.4,39.6,32.4,27.6,33.7,-15
United Kingdom,demand_tonnes,29.6,34.8,35.7,31,32.8,-13
Canada,demand_tonnes,20.8,26,27.5,23.8,24.5,-13
Australia,demand_tonnes,0,30.9,36.2,25.1,23,-31
Italy,demand_tonnes,13.8,17.3,19.4,18.7,17.3,-4
Kuwait,demand_tonnes,13,16.6,18.9,19.6,17,4
France,demand_tonnes,14,17,20,16.9,17,-16
Brazil,demand_tonnes,16,16.2,17,17,16.6,-1
Malaysia,demand_tonnes,13.1,14.9,18.5,16.6,15.8,-10
Mexico,demand_tonnes,13.3,14.1,14.2,14.7,14.1,3
Singapore,demand_tonnes,9.4,11.5,14.9,12.5,12.1,-16
Austria,demand_tonnes,11.6,12.2,14.2,4.1,10.5,-71
Japan,demand_tonnes,4.5,15.6,4.3,15.9,10.1,273
Thailand,demand_tonnes,-81.5,36.7,38.4,43.2,9.2,12
Spain,demand_tonnes,6.9,7.8,8.1,8.2,7.7,1
Sri Lanka,demand_tonnes,4.3,4.1,3.9,10.5,5.7,168
